facilityId,informRegion
1270254,경기남부
1270552,경기남부
1270782,경기남부
1270597,경기남부
1270801,서울
1270802,인천
1270800,서울
1270113,경기남부
1270784,경기남부
1270785,경기북부
1270783,서울
1270786,영서
1270787,영서
1270788,영동
1272038,영서
1272580,영동
1270608,경기남부
1270990,경기남부
1270267,대구
1270306,대구
1270564,부산
1270325,경북
1270378,부산
1270386,경남
1270446,경남
1270112,경북
1270423,대구
1270628,경북
1270489,경북
1270416,경북
1270439,경북
1270636,경북
1270619,울산
1270510,경북
1270936,경남
1272052,경남
1272355,경북
1272671,경남
1270280,대전
1270315,대전
1270467,충남
1270402,충북
1270394,충남
1270503,충북
1270496,충남
1270926,충북
1270524,충남
1270916,충남
1270804,충남
1270293,광주
1270344,광주
1270353,전북
1270474,전남
1270453,전남
1270460,전북
1270517,제주
1270538,전남
1272045,전남
1272363,전북
