facilityId,stationName,distanceKm
1270112,우현동,3.9
1270113,남양읍,3.8
1270254,별양동,0.9
1270267,화원읍,1.3
1270280,상대동(대전),2.8
1270293,건국동,1.4
1270306,다사읍,4.0
1270315,상대동(대전),2.8
1270325,청송읍,13.6
1270344,일곡동,1.7
1270353,삼천동,2.3
1270378,대저동,2.3
1270386,회원동,2.7
1270394,성성동,3.7
1270402,산남동,1.1
1270416,청송읍,13.1
1270423,만촌동,2.0
1270439,평화남산동,2.7
1270446,의령읍,9.5
1270453,남악.오룡,4.8
1270460,신풍동(군산),4.1
1270467,성성동,3.0
1270474,장천동,4.9
1270489,예천군,11.2
1270496,공주,4.7
1270503,산남동,1.0
1270510,성건동,6.8
1270517,연동,3.2
1270524,홍성읍,1.1
1270538,장흥읍,5.2
1270552,별양동,3.0
1270564,학장동,1.9
1270597,경수대로(동수원),0.7
1270608,비전동,2.6
1270619,무거동,2.4
1270628,청송읍,13.6
1270636,영양군,13.6
1270782,호계3동,0.4
1270783,철산동,2.9
1270784,가남읍,3.7
1270785,송산3동,3.1
1270786,퇴계동,1.6
1270787,중앙동(강원),2.2
1270788,옥천동,3.7
1270800,철산동,2.9
1270801,복정동,3.1
1270802,주안,2.3
1270804,성동면,3.4
1270916,성연면,3.0
1270926,칠금동,12.3
1270936,무전동,1.3
1270990,대신면,6.2
1272038,영월읍,0.9
1272045,해남읍,4.4
1272052,내일동,2.5
1272355,문경시,8.5
1272363,연지동,4.4
1272580,금호동,2.6
1272671,거창읍,2.6
