facilityId,stnId,stnName,distanceKm
1270112,138,Pohang,6.7
1270113,119,Suwon,19.5
1270254,108,Seoul,16.2
1270267,143,Daegu,14.8
1270280,133,Daejeon,7.7
1270293,156,Gwangju,6.7
1270306,143,Daegu,20.5
1270315,133,Daejeon,7.7
1270325,276,Cheongson,13.0
1270344,156,Gwangju,4.7
1270353,146,Jeonju,6.9
1270378,296,Bukbusan,1.0
1270386,155,Changwon,7.7
1270394,232,Cheonan,15.6
1270402,131,Cheongju,4.8
1270416,276,Cheongson,12.5
1270423,143,Daegu,2.5
1270439,279,Gumi,15.8
1270446,263,Uiryeongg,12.6
1270453,165,Mokpo,10.8
1270460,140,Gunsan,9.4
1270467,232,Cheonan,15.6
1270474,174,Suncheon,12.1
1270489,136,Andong,10.0
1270496,239,sejong,9.2
1270503,131,Cheongju,4.8
1270510,283,Gyeongjus,3.2
1270517,184,Jeju,5.9
1270524,177,Hongseon,8.3
1270538,260,Jangheun,7.0
1270552,119,Suwon,15.5
1270564,159,Busan,5.6
1270597,119,Suwon,5.5
1270608,119,Suwon,29.2
1270619,152,Ulsan,9.0
1270628,276,Cheongson,13.0
1270636,276,Cheongson,13.3
1270782,119,Suwon,12.6
1270783,108,Seoul,15.4
1270784,203,Icheon,6.4
1270785,98,Dongduche,20.1
1270786,101,Chuncheo,6.1
1270787,114,Wonju,1.6
1270788,105,Gangneun,2.4
1270800,108,Seoul,15.4
1270801,108,Seoul,16.6
1270802,112,Incheon,5.7
1270804,236,Buyeo,11.0
1270916,129,Seosan,5.1
1270926,127,Chungju,13.0
1270936,162,Tongyeon,2.1
1270990,203,Icheon,19.0
1272038,121,Yeongwol,1.9
1272045,261,Haenam,7.4
1272052,288,Miryang,2.5
1272355,137,Sangju,11.9
1272363,245,Jeongeup,4.0
1272580,90,Sokcho,4.0
1272671,284,Geochang,3.0
