lawId,lawName,mst,lawType,promulgationDate,effectiveDate,ministry
001692,형법,284025,법률,20260312,20260312,법무부
001671,형사소송법,281865,법률,20251230,20260701,법무부
005988,형사소송규칙,286683,대법원규칙,20260605,20260701,대법원
001668,형의 집행 및 수용자의 처우에 관한 법률,246593,법률,20221227,20221227,법무부
005630,형의 집행 및 수용자의 처우에 관한 법률 시행령,281471,대통령령,20251230,20260102,법무부
010883,형의 집행 및 수용자의 처우에 관한 법률 시행규칙,283313,법무부령,20260205,20260806,법무부
001123,보호관찰 등에 관한 법률,268863,법률,20250131,20260201,법무부
003655,보호관찰 등에 관한 법률 시행령,247017,대통령령,20221227,20221227,법무부
007284,보호관찰 등에 관한 법률 시행규칙,248585,법무부령,20230307,20230307,법무부
010434,전자장치 부착 등에 관한 법률,280401,법률,20251223,20260624,법무부
010834,전자장치 부착 등에 관한 법률 시행령,286851,대통령령,20260609,20260624,법무부
010836,전자장치 부착 등에 관한 법률 시행규칙,258615,법무부령,20240109,20240112,법무부
009998,치료감호 등에 관한 법률,238757,법률,20220104,20220705,법무부
010052,치료감호 등에 관한 법률 시행령,230805,대통령령,20210406,20210421,법무부
010171,치료감호 등에 관한 법률 시행규칙,262771,법무부령,20240521,20240521,법무부
001109,사면법,235557,법률,20210924,20220701,법무부
010720,사면법 시행규칙,86357,법무부령,20080327,20080327,법무부
001676,특정범죄 가중처벌 등에 관한 법률,270397,법률,20250401,20250702,법무부
005326,특정범죄 가중처벌 등에 관한 법률 시행령,235005,대통령령,20210831,20210910,법무부
001136,특정경제범죄 가중처벌 등에 관한 법률,199773,법률,20171219,20180320,법무부
005321,특정경제범죄 가중처벌 등에 관한 법률 시행령,287199,대통령령,20260623,20260701,법무부
011187,성폭력범죄의 처벌 등에 관한 특례법,277347,법률,20251001,20251001,법무부
011377,성폭력범죄의 처벌 등에 관한 특례법 시행령,277659,대통령령,20251001,20251001,법무부
011379,성폭력범죄의 처벌 등에 관한 특례법 시행규칙,243759,법무부령,20220704,20220705,법무부
002044,아동ㆍ청소년의 성보호에 관한 법률,279715,법률,20251111,20260512,성평등가족부
005212,아동ㆍ청소년의 성보호에 관한 법률 시행령,279185,대통령령,20251010,20251023,성평등가족부
010240,아동ㆍ청소년의 성보호에 관한 법률 시행규칙,278835,성평등가족부령,20251001,20251001,성평등가족부
001132,가정폭력범죄의 처벌 등에 관한 특례법,270787,법률,20250422,20251023,법무부
012308,가정폭력범죄의 처벌 등에 관한 특례법 시행령,172201,대통령령,20150622,20160101,법무부
001135,폭력행위 등 처벌에 관한 법률,178989,법률,20160106,20160106,법무부
002025,마약류 관리에 관한 법률,277145,법률,20251001,20260102,보건복지부·식품의약품안전처
003461,마약류 관리에 관한 법률 시행령,282953,대통령령,20260127,20260201,식품의약품안전처
007124,마약류 관리에 관한 법률 시행규칙,269047,총리령,20250206,20250207,식품의약품안전처
001677,국가보안법,179033,법률,20160106,20170707,법무부
001662,소년법,222435,법률,20201020,20210421,법무부
001669,즉결심판에 관한 절차법,195051,법률,20170726,20170726,법무부
010458,국민의 형사재판 참여에 관한 법률,195047,법률,20170726,20170726,법무부
001118,형사보상 및 명예회복에 관한 법률,257507,법률,20231229,20231229,법무부
005651,형사보상 및 명예회복에 관한 법률 시행령,117324,대통령령,20110929,20111124,법무부
010109,범죄피해자 보호법,265339,법률,20240920,20250321,법무부
010201,범죄피해자 보호법 시행령,283967,대통령령,20260310,20260310,법무부
010207,범죄피해자 보호법 시행규칙,284495,법무부령,20260311,20260311,법무부
000036,통신비밀보호법,268703,법률,20250131,20250801,과학기술정보통신부·법무부
005292,통신비밀보호법 시행령,272943,대통령령,20250729,20250801,과학기술정보통신부·법무부
